,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages,ice/cice_in.nml -> setup_nml -> istep0,ice/cice_in.nml -> setup_nml -> restart,ice/cice_in.nml -> setup_nml -> runtype
,0,1900-01-01T00:00:00,1902-01-01T00:00:00,"[2, 0, 0, 0]",730.0,/home/561/rmh561/access-om2/025deg_jra55_ryf_nostress_cont,/g/data/e14/rmh561/access-om2/archive/025deg_jra55_ryf_nostress_cont/output000,99.482,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_ryf_nostress_cont/restart000,4.976,Ryan Holmes,2020-09-10T18:33:19,11107960,0,[],normal,12189.39,3.341388888888889,6098.8694486301365,1.6718387557077625,,,,1945.5999999996275,1824,1455,361,0.089,1092.118398,7576.02,1139.96,"[48, 40]",roundrobin,30,27,1350,80,1,a054bc7776a95e4484b0c06a7b4c9cb6a00a9675,2020-09-10 15:11:34 +1000,,,0,False,initial
,1,1902-01-01T00:00:00,1904-01-01T00:00:00,"[2, 0, 0, 0]",730.0,/home/561/rmh561/access-om2/025deg_jra55_ryf_nostress_cont,/g/data/e14/rmh561/access-om2/archive/025deg_jra55_ryf_nostress_cont/output001,100.193,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_ryf_nostress_cont/restart001,4.985,Ryan Holmes,2020-09-10T21:52:51,11115810,0,[],normal,12104.27,3.3180555555555555,6056.280297945205,1.660164098173516,0.00749999999999984,87354.5713331106,14.42379926879351,1996.7999999998137,1824,1455,361,0.091,1106.87599,7459.93,1154.44,"[48, 40]",roundrobin,30,27,1350,80,1,bd44f2e00061ff731e6d741b44f50b6e02d4208f,2020-09-10 18:56:45 +1000,"manifests/input.yaml, manifests/restart.yaml, run_summary_home_561_rmh561_access-om2_025deg_jra55_ryf_nostress_cont.csv","['2020-09-10 18:33:52: Run 1', 'update run summary']",2232,True,continue
,2,1904-01-01T00:00:00,1906-01-01T00:00:00,"[2, 0, 0, 0]",731.0,/home/561/rmh561/access-om2/025deg_jra55_ryf_nostress_cont,/g/data/e14/rmh561/access-om2/archive/025deg_jra55_ryf_nostress_cont/output002,100.253,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_ryf_nostress_cont/restart002,5.0,Ryan Holmes,2020-09-11T01:12:15,11121497,0,[],normal,12106.29,3.318611111111111,6049.004681942545,1.658170599635203,0.004722222222222072,87427.57071213642,14.45321591056537,2017.2800000002608,1824,1455,361,0.096,1155.828662,7397.23,1204.65,"[48, 40]",roundrobin,30,27,1350,80,1,2e0926f2955c84d0fe284c6a9b35f93fc28fb491,2020-09-10 22:22:32 +1000,"manifests/restart.yaml, run_summary_home_561_rmh561_access-om2_025deg_jra55_ryf_nostress_cont.csv","['2020-09-10 21:53:17: Run 2', 'update run summary']",4464,True,continue
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages,ice/cice_in.nml -> setup_nml -> istep0,ice/cice_in.nml -> setup_nml -> restart,ice/cice_in.nml -> setup_nml -> runtype
Total,3,,,,2191.0,,,299.928,,14.961,,,33345267,0,,,36399.95,9.978055555555557,18204.154428517886,4.990173453516482,0.012222222222221912,174782.14204524702,28.87701517935888,5959.679999999702,5472,4365,1083,0.276,3354.82305,22433.18,3499.05,,,90,81,4050,240,3,,,,,6696,2,
Mean,1.0,,,0.5,730.3333333333334,,,99.976,,4.987,,,11115089.0,0.0,nan,,12133.316666666666,3.3260185185185187,6068.051476172629,1.6633911511721606,0.006111111111110956,87391.07102262351,14.43850758967944,1986.5599999999006,1824.0,1455.0,361.0,0.09200000000000001,1118.27435,7477.7266666666665,1166.3500000000001,44.0,,30.0,27.0,1350.0,80.0,1.0,,,,,2232.0,0.6666666666666666,
Median,1.0,,,0.0,730.0,,,100.193,,4.985,,,11115810.0,0.0,nan,,12106.29,3.318611111111111,6056.280297945205,1.660164098173516,0.006111111111110956,87391.07102262351,14.43850758967944,1996.7999999998137,1824.0,1455.0,361.0,0.091,1106.87599,7459.93,1154.44,44.0,,30.0,27.0,1350.0,80.0,1.0,,,,,2232.0,1.0,
Min,0,1900-01-01T00:00:00,1902-01-01T00:00:00,"[2, 0, 0, 0]",730.0,/home/561/rmh561/access-om2/025deg_jra55_ryf_nostress_cont,/g/data/e14/rmh561/access-om2/archive/025deg_jra55_ryf_nostress_cont/output000,99.482,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_ryf_nostress_cont/restart000,4.976,Ryan Holmes,2020-09-10T18:33:19,11107960,0,[],normal,12104.27,3.3180555555555555,6049.004681942545,1.658170599635203,0.004722222222222072,87354.5713331106,14.42379926879351,1945.5999999996275,1824,1455,361,0.089,1092.118398,7397.23,1139.96,"[48, 40]",roundrobin,30,27,1350,80,1,2e0926f2955c84d0fe284c6a9b35f93fc28fb491,2020-09-10 15:11:34 +1000,,"['2020-09-10 18:33:52: Run 1', 'update run summary']",0,False,continue
Max,2,1904-01-01T00:00:00,1906-01-01T00:00:00,"[2, 0, 0, 0]",731.0,/home/561/rmh561/access-om2/025deg_jra55_ryf_nostress_cont,/g/data/e14/rmh561/access-om2/archive/025deg_jra55_ryf_nostress_cont/output002,100.253,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_ryf_nostress_cont/restart002,5.0,Ryan Holmes,2020-09-11T01:12:15,11121497,0,[],normal,12189.39,3.341388888888889,6098.8694486301365,1.6718387557077625,0.00749999999999984,87427.57071213642,14.45321591056537,2017.2800000002608,1824,1455,361,0.096,1155.828662,7576.02,1204.65,"[48, 40]",roundrobin,30,27,1350,80,1,bd44f2e00061ff731e6d741b44f50b6e02d4208f,2020-09-10 22:22:32 +1000,"manifests/restart.yaml, run_summary_home_561_rmh561_access-om2_025deg_jra55_ryf_nostress_cont.csv","['2020-09-10 21:53:17: Run 2', 'update run summary']",4464,True,initial
